                         Feature  Divergence  MI Score  Goodness Factor (G)
20                SerumCreatinine   15.817945  0.023041         3.644540e-01
22                            GFR   15.817945  0.016343         2.585165e-01
36                      NSAIDsUse   15.817945  0.013335         2.109251e-01
18              FastingBloodSugar   15.817945  0.012216         1.932260e-01
23                 ProteinInUrine   15.817945  0.011825         1.870522e-01
8                PhysicalActivity   15.817945  0.010828         1.712757e-01
32                 CholesterolHDL   15.817945  0.010102         1.597900e-01
21                      BUNLevels   15.817945  0.009362         1.480808e-01
25        SerumElectrolytesSodium   15.817945  0.008848         1.399556e-01
30               CholesterolTotal   15.817945  0.008313         1.315021e-01
9                     DietQuality   15.817945  0.006665         1.054321e-01
19                          HbA1c   15.817945  0.005698         9.012803e-02
41                 NauseaVomiting   15.817945  0.005294         8.373283e-02
33       CholesterolTriglycerides   15.817945  0.005011         7.926216e-02
27       SerumElectrolytesCalcium   15.817945  0.004900         7.751018e-02
43                        Itching   15.817945  0.003453         5.461966e-02
42                   MuscleCramps   15.817945  0.002311         3.655589e-02
29               HemoglobinLevels   15.817945  0.002275         3.598325e-02
7              AlcoholConsumption   15.817945  0.001607         2.542072e-02
16                     SystolicBP    0.497025  0.012685         6.304701e-03
17                    DiastolicBP    0.257690  0.002868         7.389535e-04
11     FamilyHistoryKidneyDisease    0.019543  0.004741         9.265129e-05
3             SocioeconomicStatus    0.011851  0.003483         4.127578e-05
39                          Edema    0.018792  0.002147         4.033639e-05
4                  EducationLevel    0.022909  0.001446         3.311850e-05
12      FamilyHistoryHypertension    0.003458  0.006012         2.079170e-05
46  OccupationalExposureChemicals    0.001477  0.009912         1.464046e-05
6                         Smoking    0.004951  0.001372         6.794736e-06
47                   WaterQuality    0.002303  0.000998         2.299929e-06
1                          Gender    0.011939  0.000107         1.282846e-06
14      PreviousAcuteKidneyInjury    0.000196  0.003426         6.722776e-07
34                  ACEInhibitors    0.000120  0.000810         9.690568e-08
2                       Ethnicity    0.002274  0.000000         0.000000e+00
0                             Age    0.281085  0.000000         0.000000e+00
10                   SleepQuality   15.817945  0.000000         0.000000e+00
15         UrinaryTractInfections    0.008432  0.000000         0.000000e+00
13          FamilyHistoryDiabetes    0.001302  0.000000         0.000000e+00
5                             BMI   15.817945  0.000000         0.000000e+00
26     SerumElectrolytesPotassium   15.817945  0.000000         0.000000e+00
31                 CholesterolLDL   15.817945  0.000000         0.000000e+00
28    SerumElectrolytesPhosphorus   15.817945  0.000000         0.000000e+00
24                            ACR   15.817945  0.000000         0.000000e+00
38        AntidiabeticMedications    0.001395  0.000000         0.000000e+00
40                  FatigueLevels   15.817945  0.000000         0.000000e+00
35                      Diuretics    0.005453  0.000000         0.000000e+00
37                        Statins    0.000339  0.000000         0.000000e+00
44             QualityOfLifeScore   15.817945  0.000000         0.000000e+00
45            HeavyMetalsExposure    0.000714  0.000000         0.000000e+00
48       MedicalCheckupsFrequency   15.817945  0.000000         0.000000e+00
49            MedicationAdherence   15.817945  0.000000         0.000000e+00
50                 HealthLiteracy   15.817945  0.000000         0.000000e+00
